Timestamp,Date,Stablecoins Mcap,Bridged TVL
1695772800000,2023-09-27,583270144,
1695859200000,2023-09-28,574541662,
1695945600000,2023-09-29,569926405,
1696032000000,2023-09-30,569389016,
1696118400000,2023-10-01,570692714,
1696204800000,2023-10-02,570216505,
1696291200000,2023-10-03,569971236,
1696377600000,2023-10-04,566717722,
1696464000000,2023-10-05,565737006,
1696550400000,2023-10-06,565556260,
1696636800000,2023-10-07,565634941,
1696723200000,2023-10-08,564932571,
1696809600000,2023-10-09,564715692,
1696896000000,2023-10-10,565438998,
1696982400000,2023-10-11,566690299,
1697068800000,2023-10-12,557705122,
1697155200000,2023-10-13,556032907,
1697241600000,2023-10-14,556455832,
1697328000000,2023-10-15,556022553,
1697414400000,2023-10-16,556848546,
1697500800000,2023-10-17,560231398,
1697587200000,2023-10-18,561005968,
1697673600000,2023-10-19,560280766,
1697760000000,2023-10-20,561097578,
1697846400000,2023-10-21,558690466,
1697932800000,2023-10-22,558740863,
1698019200000,2023-10-23,563144832,
1698105600000,2023-10-24,559361221,
1698192000000,2023-10-25,562250967,
1698278400000,2023-10-26,563768697,
1698364800000,2023-10-27,570043467,
1698451200000,2023-10-28,565986771,
1698537600000,2023-10-29,566369850,
1698624000000,2023-10-30,567019121,
1698710400000,2023-10-31,566957366,
1698796800000,2023-11-01,570084985,
1698883200000,2023-11-02,573895065,
1698969600000,2023-11-03,569090041,
1699056000000,2023-11-04,571616646,
1699142400000,2023-11-05,570398778,
1699228800000,2023-11-06,568873562,
1699315200000,2023-11-07,574988284,
1699401600000,2023-11-08,583190901,
1699488000000,2023-11-09,584893544,
1699574400000,2023-11-10,583982382,
1699660800000,2023-11-11,580776759,
1699747200000,2023-11-12,582368344,
1699833600000,2023-11-13,584053875,
1699920000000,2023-11-14,572666191,
1700006400000,2023-11-15,577795267,
1700092800000,2023-11-16,575323351,
1700179200000,2023-11-17,578083159,
1700265600000,2023-11-18,578355228,
1700352000000,2023-11-19,579454184,
1700438400000,2023-11-20,578567477,
1700524800000,2023-11-21,569954742,
1700611200000,2023-11-22,568919358,
1700697600000,2023-11-23,570970785,
1700784000000,2023-11-24,570439418,
1700870400000,2023-11-25,569952550,
1700956800000,2023-11-26,571504008,
1701043200000,2023-11-27,576418501,
1701129600000,2023-11-28,569678142,
1701216000000,2023-11-29,572305272,
1701302400000,2023-11-30,576253890,
1701388800000,2023-12-01,575995146,
1701475200000,2023-12-02,574656697,
1701561600000,2023-12-03,572902077,
1701648000000,2023-12-04,573627160,
1701734400000,2023-12-05,575237377,
1701820800000,2023-12-06,575210502,
1701907200000,2023-12-07,582490294,
1701993600000,2023-12-08,579573019,
1702080000000,2023-12-09,580715368,
1702166400000,2023-12-10,593138760,
1702252800000,2023-12-11,594027118,
1702339200000,2023-12-12,594022766,
1702425600000,2023-12-13,596397904,
1702512000000,2023-12-14,589064122,
1702598400000,2023-12-15,583251456,
1702684800000,2023-12-16,585972783,
1702771200000,2023-12-17,587838414,
1702857600000,2023-12-18,585541052,
1702944000000,2023-12-19,587659241,
1703030400000,2023-12-20,602824644,
1703116800000,2023-12-21,602696668,
1703203200000,2023-12-22,596563983,
1703289600000,2023-12-23,606276123,
1703376000000,2023-12-24,605727710,
1703462400000,2023-12-25,606205266,
1703548800000,2023-12-26,606219625,
1703635200000,2023-12-27,613085182,
1703721600000,2023-12-28,610279992,
1703808000000,2023-12-29,613438490,
1703894400000,2023-12-30,617474383,
1703980800000,2023-12-31,613564807,
1704067200000,2024-01-01,617869658,
1704153600000,2024-01-02,618213921,
1704240000000,2024-01-03,614274617,
1704326400000,2024-01-04,619778212,
1704412800000,2024-01-05,618406682,
1704499200000,2024-01-06,612483314,
1704585600000,2024-01-07,612660626,
1704672000000,2024-01-08,609864029,
1704758400000,2024-01-09,607578253,
1704844800000,2024-01-10,606553720,
1704931200000,2024-01-11,606636384,
1705017600000,2024-01-12,609070657,
1705104000000,2024-01-13,605812010,
1705190400000,2024-01-14,607966932,
1705276800000,2024-01-15,609920462,
1705363200000,2024-01-16,609985226,
1705449600000,2024-01-17,610834818,
1705536000000,2024-01-18,610014158,
1705622400000,2024-01-19,605281696,
1705708800000,2024-01-20,603975828,
1705795200000,2024-01-21,603740317,
1705881600000,2024-01-22,606309153,
1705968000000,2024-01-23,609819051,
1706054400000,2024-01-24,611906100,
1706140800000,2024-01-25,604350975,
1706227200000,2024-01-26,603501853,
1706313600000,2024-01-27,602653566,
1706400000000,2024-01-28,602808844,
1706486400000,2024-01-29,604159601,
1706572800000,2024-01-30,600804091,
1706659200000,2024-01-31,600831902,
1706745600000,2024-02-01,599193505,
1706832000000,2024-02-02,607950582,
1706918400000,2024-02-03,608123438,
1707004800000,2024-02-04,608085981,
1707091200000,2024-02-05,606434957,
1707177600000,2024-02-06,609467185,
1707264000000,2024-02-07,606320142,
1707350400000,2024-02-08,609022926,
1707436800000,2024-02-09,608341169,
1707523200000,2024-02-10,609743919,
1707609600000,2024-02-11,607662194,
1707696000000,2024-02-12,610361288,
1707782400000,2024-02-13,606534433,
1707868800000,2024-02-14,610861582,
1707955200000,2024-02-15,616506472,
1708041600000,2024-02-16,610426174,
1708128000000,2024-02-17,618743270,
1708214400000,2024-02-18,623813724,
1708300800000,2024-02-19,629025702,
1708387200000,2024-02-20,634630633,
1708473600000,2024-02-21,643785763,
1708560000000,2024-02-22,647331319,
1708646400000,2024-02-23,645847153,
1708732800000,2024-02-24,649437797,
1708819200000,2024-02-25,650909035,
1708905600000,2024-02-26,654482227,
1708992000000,2024-02-27,653900503,
1709078400000,2024-02-28,657903735,
1709164800000,2024-02-29,661592719,
1709251200000,2024-03-01,660333933,
1709337600000,2024-03-02,657523373,
1709424000000,2024-03-03,658524444,
1709510400000,2024-03-04,662080672,
